id;budget_item_id;amount;description;invoice_url;status;claimed_by;approved_by;expense_date;created_at;updated_at;budget_master_id;gst_amount;is_correction;correction_reason;correction_requested_at;correction_approved_at;correction_completed_at;tds_percentage;tds_amount
34948079-df0b-4c70-94a9-05aaf778f9b2;;715818.00;Historical expense for Tanker Water Bill - april 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-04-15;2025-11-23 09:14:39.158099+00;2025-11-23 09:14:39.158099+00;c15ebab7-da4f-4670-9c22-69bfe733f810;0;false;;;;;0;0
599bb5cc-229b-4bb3-9f7a-01361f0310b0;;932864.00;Historical expense for Tanker Water Bill - may 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-05-15;2025-11-23 09:14:39.418729+00;2025-11-23 09:14:39.418729+00;c15ebab7-da4f-4670-9c22-69bfe733f810;0;false;;;;;0;0
f6737edf-d726-4e15-a1a9-0b55c584c25a;;1002386.00;Historical expense for Tanker Water Bill - june 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-06-15;2025-11-23 09:14:40.074569+00;2025-11-23 09:14:40.074569+00;c15ebab7-da4f-4670-9c22-69bfe733f810;0;false;;;;;0;0
ca389a29-8df6-4ff8-b432-65d7a4063ee3;;968687.00;Historical expense for Tanker Water Bill - july 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-07-15;2025-11-23 09:14:40.311552+00;2025-11-23 09:14:40.311552+00;c15ebab7-da4f-4670-9c22-69bfe733f810;0;false;;;;;0;0
efd81581-7dc4-42c6-b712-5c6a59d02741;;1259666.00;Historical expense for Tanker Water Bill - august 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-08-15;2025-11-23 09:14:40.567819+00;2025-11-23 09:14:40.567819+00;c15ebab7-da4f-4670-9c22-69bfe733f810;0;false;;;;;0;0
264ed098-0791-425d-aa37-ceffe4a63f41;;1156277.00;Historical expense for Tanker Water Bill - september 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-09-15;2025-11-23 09:14:40.814182+00;2025-11-23 09:14:40.814182+00;c15ebab7-da4f-4670-9c22-69bfe733f810;0;false;;;;;0;0
8784077e-2022-4d50-8ed3-f531585be0ce;;911096.00;Historical expense for Tanker Water Bill - october 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-10-15;2025-11-23 09:14:41.041995+00;2025-11-23 09:14:41.041995+00;c15ebab7-da4f-4670-9c22-69bfe733f810;0;false;;;;;0;0
7e89ec22-2474-41e4-a06d-6204351e9fda;;183222.00;Historical expense for Sewage Tanker + Hauling - april 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-04-15;2025-11-23 09:14:41.27186+00;2025-11-23 09:14:41.27186+00;b409c8ed-ef93-4a7a-84fe-d1e8d40dc26b;0;false;;;;;0;0
d75325b5-894c-4dd6-98ae-7ab5211e5372;;122148.00;Historical expense for Sewage Tanker + Hauling - may 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-05-15;2025-11-23 09:14:41.530942+00;2025-11-23 09:14:41.530942+00;b409c8ed-ef93-4a7a-84fe-d1e8d40dc26b;0;false;;;;;0;0
e4b68fdd-0c03-4575-8665-19e7e88212ff;;146367.00;Historical expense for Sewage Tanker + Hauling - june 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-06-15;2025-11-23 09:14:41.791361+00;2025-11-23 09:14:41.791361+00;b409c8ed-ef93-4a7a-84fe-d1e8d40dc26b;0;false;;;;;0;0
cedaefca-44f6-4d98-99b9-b0c068beab06;;177957.00;Historical expense for Sewage Tanker + Hauling - july 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-07-15;2025-11-23 09:14:42.027979+00;2025-11-23 09:14:42.027979+00;b409c8ed-ef93-4a7a-84fe-d1e8d40dc26b;0;false;;;;;0;0
9a0618a1-5bb1-49f4-8166-b2e6fb253df9;;185328.00;Historical expense for Sewage Tanker + Hauling - august 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-08-15;2025-11-23 09:14:42.265983+00;2025-11-23 09:14:42.265983+00;b409c8ed-ef93-4a7a-84fe-d1e8d40dc26b;0;false;;;;;0;0
07c180b5-e4c5-4fb4-9cf8-50a8c9afa6d3;;160056.00;Historical expense for Sewage Tanker + Hauling - september 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-09-15;2025-11-23 09:14:42.528844+00;2025-11-23 09:14:42.528844+00;b409c8ed-ef93-4a7a-84fe-d1e8d40dc26b;0;false;;;;;0;0
